TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate,TransactionAmount_Bin,CustomerAge_Bin,Target
TX000001,AC00128,14.090000000000032,2023-04-11 16:29:14,Debit,San Diego,D000380,162.198.218.92,M015,ATM,70.0,Doctor,81.0,1.0,5112.21,2024-11-04 08:08:08,1,3,6
TX000002,AC00455,376.24,2023-06-27 16:44:19,Debit,Houston,D000051,13.149.61.4,M052,ATM,68.0,Doctor,141.0,1.0,13758.91,2024-11-04 08:09:35,2,3,1
TX000003,AC00019,126.29000000000002,2023-07-10 18:16:08,Debit,Mesa,D000235,215.97.143.157,M009,Online,19.000000000000004,Student,56.0,1.0,1122.3500000000004,2024-11-04 08:07:04,2,1,0
TX000004,AC00070,184.5,2023-05-05 16:32:11,Debit,Raleigh,D000187,200.13.225.150,M002,Online,26.0,Student,25.0,1.0,8569.06,2024-11-04 08:09:06,2,0,0
TX000006,AC00393,92.15,2023-04-03 17:15:01,Debit,Oklahoma City,D000579,117.67.192.211,M054,ATM,18.0,Student,172.0,1.0,781.6800000000003,2024-11-04 08:06:36,1,1,2
TX000010,AC00385,815.96,2023-03-31 16:06:57,Debit,Nashville,D000199,32.169.88.41,M007,ATM,55.0,Doctor,120.0,1.0,1021.8800000000006,2024-11-04 08:06:32,0,2,5
TX000012,AC00459,190.02,2023-02-06 17:30:00,Debit,Memphis,D000589,116.175.11.222,M030,Online,21.0,Student,173.0,1.0,1528.81,2024-11-04 08:07:12,2,1,2
TX000014,AC00264,781.76,2023-11-20 16:39:15,Debit,Memphis,D000054,193.83.0.183,M025,ATM,26.0,Student,123.0,1.0,189.6899999999996,2024-11-04 08:07:06,0,0,0
TX000015,AC00085,166.99,2023-02-13 16:53:57,Debit,Louisville,D000309,188.124.181.12,M017,Online,18.0,Student,134.0,1.0,299.9300000000003,2024-11-04 08:10:09,2,1,0
TX000016,AC00270,465.45,2023-12-12 16:23:31,Debit,Denver,D000466,221.169.49.152,M025,ATM,36.0,Engineer,129.0,1.0,3465.54,2024-11-04 08:12:19,2,0,7
TX000018,AC00359,492.93,2023-12-14 18:32:14,Debit,Columbus,D000432,114.223.129.47,M059,Online,39.0,Engineer,234.0,1.0,5109.97,2024-11-04 08:11:51,2,0,7
TX000021,AC00002,59.31999999999999,2023-02-28 16:36:58,Debit,Los Angeles,D000152,116.44.12.250,M040,Branch,71.0,Retired,38.0,1.0,5750.89,2024-11-04 08:09:24,1,3,4
TX000022,AC00014,85.76999999999998,2023-08-11 18:31:31,Debit,Las Vegas,D000268,59.132.247.252,M065,Branch,38.0,Doctor,93.0,1.0,9146.19,2024-11-04 08:08:13,1,0,7
TX000025,AC00241,145.54,2023-03-02 16:43:56,Debit,Raleigh,D000036,119.186.154.104,M028,Online,21.0,Student,96.0,1.0,1930.96,2024-11-04 08:07:09,2,1,0
TX000028,AC00057,40.31999999999999,2023-03-29 16:42:38,Debit,Milwaukee,D000310,21.28.32.1,M008,Branch,37.0,Engineer,95.0,1.0,2686.52,2024-11-04 08:11:59,1,0,7
TX000029,AC00390,127.44999999999999,2023-01-24 16:18:32,Debit,Las Vegas,D000232,152.234.65.155,M092,Online,44.0,Doctor,197.0,1.0,1772.06,2024-11-04 08:11:22,2,2,4
TX000030,AC00313,56.170000000000016,2023-09-20 16:55:42,Debit,Detroit,D000297,33.28.138.82,M043,Branch,27.0,Student,283.0,1.0,1351.69,2024-11-04 08:08:30,1,0,2
TX000032,AC00291,59.120000000000005,2023-02-06 16:24:24,Debit,Baltimore,D000282,187.199.178.27,M053,ATM,29.0,Doctor,257.0,1.0,9823.64,2024-11-04 08:06:58,1,0,7
TX000034,AC00359,877.81,2023-03-13 17:23:24,Debit,Los Angeles,D000111,134.140.85.231,M094,Online,22.0,Student,150.0,1.0,399.0,2024-11-04 08:07:50,0,1,2
TX000036,AC00267,124.76,2023-10-16 16:32:56,Debit,Seattle,D000042,59.145.242.13,M002,Branch,49.0,Engineer,45.0,1.0,5764.72,2024-11-04 08:06:23,2,2,4
TX000037,AC00404,78.13,2023-11-21 16:58:44,Debit,Milwaukee,D000250,33.28.138.82,M028,Branch,26.0,Student,145.0,1.0,900.6099999999997,2024-11-04 08:12:18,1,0,0
TX000040,AC00405,335.63,2023-01-24 17:17:20,Debit,Oklahoma City,D000038,49.20.211.229,M040,Online,55.0,Retired,216.0,1.0,1019.3899999999999,2024-11-04 08:07:31,2,2,4
TX000041,AC00421,328.47,2023-07-31 18:39:50,Debit,San Antonio,D000557,6.234.101.35,M014,ATM,63.0,Retired,119.0,1.0,4323.66,2024-11-04 08:07:31,2,3,6
TX000042,AC00480,34.02000000000001,2023-01-09 16:13:21,Debit,Philadelphia,D000627,109.105.179.186,M046,Online,38.0,Doctor,19.0,1.0,14214.48,2024-11-04 08:11:45,1,0,7
TX000044,AC00117,55.31999999999999,2023-04-12 16:03:37,Debit,Tucson,D000197,173.135.78.201,M009,ATM,19.000000000000004,Student,117.0,1.0,241.78999999999996,2024-11-04 08:08:03,1,1,0
TX000045,AC00010,304.31,2023-07-26 16:52:28,Debit,Louisville,D000685,77.208.193.198,M005,Branch,27.0,Student,33.0,1.0,868.6099999999997,2024-11-04 08:09:53,2,0,0
TX000047,AC00282,164.49,2023-12-13 16:01:38,Debit,Baltimore,D000103,113.115.81.178,M070,Branch,26.0,Student,75.0,1.0,1509.27,2024-11-04 08:10:33,2,0,0
TX000048,AC00439,510.24,2023-10-09 16:29:40,Debit,Oklahoma City,D000397,186.135.2.148,M090,Online,19.000000000000004,Student,105.0,1.0,781.6999999999998,2024-11-04 08:11:35,0,1,2
TX000049,AC00296,626.9,2023-11-27 16:45:57,Debit,Denver,D000284,93.146.251.20,M023,Online,26.0,Student,138.0,1.0,265.5100000000002,2024-11-04 08:07:23,0,0,0
TX000053,AC00115,85.43,2023-06-07 16:45:34,Debit,Virginia Beach,D000235,194.174.252.1,M078,Branch,67.0,Doctor,145.0,1.0,14904.9,2024-11-04 08:06:45,1,3,1
TX000053,AC00055,169.5,2023-09-07 16:51:27,Debit,San Diego,D000442,42.219.228.159,M036,Branch,28.0,Student,142.0,1.0,918.8800000000001,2024-11-04 08:08:58,2,0,8
TX000055,AC00419,104.63,2023-03-29 17:47:16,Debit,Omaha,D000642,186.135.2.148,M095,ATM,62.0,Retired,90.0,1.0,4477.78,2024-11-04 08:10:42,2,3,6
TX000056,AC00374,316.95,2023-08-04 17:53:40,Debit,Mesa,D000013,81.102.230.41,M052,Branch,25.0,Student,83.0,1.0,1324.0299999999997,2024-11-04 08:09:15,2,1,0
TX000059,AC00143,386.52,2023-06-09 16:18:15,Debit,Indianapolis,D000145,186.54.68.246,M064,Branch,48.0,Engineer,28.0,1.0,5630.61,2024-11-04 08:07:09,2,2,4
TX000060,AC00427,112.07,2023-10-02 16:35:22,Debit,Kansas City,D000089,198.166.198.233,M064,Branch,23.0,Student,51.0,1.0,930.3000000000002,2024-11-04 08:11:37,2,1,0
TX000063,AC00425,349.64,2023-11-07 16:48:23,Debit,Las Vegas,D000516,9.230.41.239,M097,Online,48.0,Engineer,226.0,1.0,6651.62,2024-11-04 08:08:09,2,2,4
TX000065,AC00434,5.770000000000039,2023-11-02 16:01:40,Debit,Charlotte,D000461,155.164.18.235,M071,Online,50.0,Doctor,124.0,1.0,13988.12,2024-11-04 08:11:32,1,2,1
TX000067,AC00319,298.42,2023-04-25 16:11:24,Debit,Indianapolis,D000435,92.214.76.157,M005,Branch,56.0,Retired,225.0,1.0,3014.75,2024-11-04 08:10:12,2,2,4
TX000068,AC00460,521.06,2023-04-18 18:40:47,Debit,Albuquerque,D000305,130.92.201.49,M063,Branch,25.0,Student,128.0,1.0,1951.42,2024-11-04 08:12:10,0,1,0
TX000071,AC00217,133.55,2023-07-18 16:12:00,Debit,Atlanta,D000201,40.226.196.34,M091,ATM,44.0,Engineer,220.0,1.0,3846.28,2024-11-04 08:10:18,2,2,6
TX000072,AC00053,143.21000000000004,2023-01-13 17:00:16,Debit,Dallas,D000410,65.164.3.100,M066,Online,35.0,Engineer,135.0,1.0,6374.82,2024-11-04 08:09:26,2,0,7
TX000073,AC00282,24.769999999999982,2023-07-04 18:20:33,Debit,Boston,D000180,9.230.41.239,M070,ATM,62.0,Retired,55.0,1.0,5866.01,2024-11-04 08:12:15,1,3,6
TX000078,AC00022,91.53,2023-03-13 16:32:12,Debit,Milwaukee,D000363,94.37.250.128,M095,Branch,44.0,Doctor,69.0,1.0,14676.05,2024-11-04 08:11:36,1,2,1
TX000078,AC00464,120.29000000000002,2023-12-18 18:46:27,Debit,Miami,D000561,162.198.218.92,M045,Branch,19.000000000000004,Student,77.0,1.0,1362.3900000000003,2024-11-04 08:06:50,2,1,2
TX000080,AC00014,174.25,2023-07-17 18:54:31,Debit,Seattle,D000375,130.92.201.49,M032,Online,50.0,Doctor,67.0,1.0,10528.34,2024-11-04 08:10:29,2,2,1
TX000081,AC00406,183.71,2023-06-19 18:22:10,Debit,Denver,D000488,86.103.2.29,M074,ATM,38.0,Engineer,102.0,1.0,552.5200000000004,2024-11-04 08:09:51,2,0,7
TX000084,AC00220,259.91,2023-11-06 16:34:10,Debit,Denver,D000616,36.13.239.172,M028,Online,49.0,Doctor,170.0,1.0,7176.86,2024-11-04 08:09:38,2,2,4
TX000085,AC00140,154.71,2023-07-03 16:40:24,Debit,San Diego,D000494,167.104.180.235,M030,Online,34.0,Doctor,157.0,1.0,1523.7200000000003,2024-11-04 08:09:42,2,0,7
TX000087,AC00303,24.560000000000002,2023-10-20 17:27:35,Debit,Mesa,D000428,16.131.3.140,M033,Branch,64.0,Doctor,69.0,1.0,9869.93,2024-11-04 08:12:05,1,3,1
TX000090,AC00437,392.96,2023-11-20 16:28:09,Debit,Kansas City,D000141,186.54.68.246,M022,Online,24.0,Student,100.0,1.0,791.6499999999996,2024-11-04 08:08:38,2,1,0
TX000093,AC00149,230.66,2023-03-27 18:16:04,Debit,Houston,D000526,60.43.160.195,M049,Branch,21.0,Student,135.0,1.0,618.0500000000002,2024-11-04 08:10:44,2,1,0
TX000095,AC00425,644.17,2023-03-02 16:05:09,Debit,San Antonio,D000178,165.38.56.205,M093,ATM,29.0,Engineer,72.0,1.0,1143.52,2024-11-04 08:08:04,0,0,2
